Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SMA_Amphenol_901-144_Vertical,1,Antenna,
C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,0.1uF,
C2,CP_Radial_D5.0mm_P2.00mm,1,47uF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,PC104_16bit_Connector,1,~,
"J10, J11",Jack_3.5mm_CUI_SJ1-3525N_Horizontal,2,SC1464-ND,
J2,PinHeader_1x02_P2.54mm_Vertical,1,SQ,
"J3, J6",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
"J4, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"J8, J9",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
"R1, R3",1206,2,68,
R2,1206,1,180,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
U1,SR105U,1,SR105U,
U2,RPi_Pico_TH,1,Pico,
U3,USB_UART_Module_New,1,~,
